price,close,high,low,open,volume,rsi,ema_20,macd,bb_high,bb_low,atr,returns,volatility,volume_change
2024-05-09 11:00:00+00:00,61054.52734375,61138.265625,60660.4609375,60796.2734375,538187776.0,34.68875308157227,61537.4841499599,-299.49637307484227,62530.600580622195,60647.79238812781,354.8612523367545,0.003193926238544975,0.007825868257235991,4.7398379311098005
2024-05-09 12:00:00+00:00,61511.66015625,61514.39453125,61030.64453125,61030.64453125,273014784.0,46.86448658070506,61535.024721987524,-264.3766279897609,62409.403475327665,60680.03949342233,364.06759145555776,0.007487287714574409,0.007864362606556112,-0.4927146320023441
2024-05-09 13:00:00+00:00,61136.19140625,61496.01171875,60916.2421875,61496.01171875,0.0,40.23044644015886,61497.04059667919,-263.8002422052741,62211.548586623474,60733.57133525152,380.5926184051608,-0.006104025627763021,0.009483245814208991,-1.0
2024-05-09 16:00:00+00:00,61915.5390625,62578.62109375,61915.5390625,62138.78125,1079642112.0,54.237672965242055,61587.05200229431,-109.81762218621589,62006.32014988405,60854.562271990944,423.3124936720621,-0.0033131971767963453,0.010709460682893494,0.5917995760587962
2024-05-09 17:00:00+00:00,61959.0234375,62172.4453125,61795.61328125,61846.96875,245499904.0,54.89297524940758,61622.47785326628,-68.34284676121752,62075.04440751731,60834.41535810769,419.9924606419148,0.0007023176355793748,0.00608195562717547,-0.7726099220553561
2024-05-09 18:00:00+00:00,62199.58203125,62234.7421875,61931.6953125,61939.93359375,17051648.0,58.438624874375336,61677.4401559314,-15.87966939961916,62193.37255372114,60812.85400877886,411.6392045246352,0.0038825433391902475,0.004872168993800388,-0.930543158175736
2024-05-09 19:00:00+00:00,62414.9375,62515.8359375,62194.79296875,62239.9921875,0.0,61.36639253730858,61747.67799822365,42.584278113310575,62344.241932960365,60784.35845766463,405.168044826447,0.0034623298375511258,0.00514368805944891,-1.0
2024-05-09 23:00:00+00:00,63055.19140625,63282.546875,62883.5,63279.96875,718848.0,65.60499265373277,62129.887914381434,285.22027869793965,63163.580290942824,60493.98924030718,422.94280654969685,-0.0037934172143022638,0.006328533243663212,-0.995722381329596
2024-05-10 00:00:00+00:00,62829.19140625,63075.9296875,62773.05078125,63061.99609375,0.0,61.26485831935968,62196.488246940346,302.2502760899297,63288.98513823828,60501.717205511726,414.3668136711471,-0.0035841616678939925,0.004820671720754802,-1.0
2024-05-10 02:00:00+00:00,62875.12890625,62984.5703125,62793.1328125,62872.828125,0.0,61.81938288364908,62319.447206537334,322.7324241242968,63514.66721896917,60530.07145290584,387.2069281462953,2.777158905553634e-05,0.0030447253680456546,-1.0
2024-05-10 07:00:00+00:00,63133.01953125,63334.23828125,63000.7734375,63158.71875,760651776.0,63.58528001779953,62586.71585167141,336.2324943225176,63706.752187906546,61266.45523396846,352.75522522883404,-0.0006667352590479236,0.0052819403574533505,4.391847163347077
2024-05-10 08:00:00+00:00,62981.23828125,63115.4609375,62869.0,63115.4609375,0.0,59.91773722252167,62624.28941639318,324.96724078622356,63711.60134993109,61408.563884443916,346.41696137320304,-0.002404150017327633,0.0039132437568058,-1.0
2024-05-10 15:00:00+00:00,60913.7109375,61247.08203125,60765.57421875,61084.42578125,731889664.0,29.85900196398309,62489.31203436651,-31.41615066115628,63982.11687931846,61576.14288630654,471.3133165568565,-0.00505387568014537,0.00790475256045469,-0.6258514369470765
2024-05-10 16:00:00+00:00,61110.2890625,61246.734375,60432.54296875,60840.85546875,205176832.0,33.28334120977041,62357.97651323637,-134.42899074187153,64109.32584892854,61297.60461982145,495.80460867779533,0.0032271572684463568,0.013323311323520218,-0.719661525374404
2024-05-10 17:00:00+00:00,60385.109375,61064.1484375,60291.0,61064.1484375,790075392.0,27.876556325126245,62170.0844048329,-271.45419390207826,64327.22176560936,60863.22393751564,518.9106410936671,-0.01186673633237656,0.012803627342937142,2.8507047033458437
2024-05-10 18:00:00+00:00,60648.94140625,60700.4140625,60248.46875,60372.35546875,573736960.0,32.192319790203186,62025.2136430631,-354.6701973734307,64357.46830768606,60568.341848563934,514.1274033369766,0.00436915713129804,0.0074518252424670695,-0.2738199850173286
2024-05-10 19:00:00+00:00,60725.43359375,60807.6640625,60529.59375,60693.26953125,211456000.0,33.435960956134906,61901.42506693804,-409.7241543965938,64363.51731616548,60329.317058834524,497.26618256290686,0.0012612287325450833,0.004579140831834581,-0.6314408609827054
2024-05-10 20:00:00+00:00,60463.703125,60916.01171875,60463.703125,60647.7890625,222025728.0,31.31930531503636,61764.49916770584,-469.06715920793795,64390.32820488045,60065.95734199456,494.0549262191278,-0.004310063399480368,0.007480663114776763,0.04998547215496374
2024-05-10 21:00:00+00:00,60613.81640625,60746.02734375,60458.78125,60465.2734375,0.0,33.903724207761016,61654.91033328148,-498.24062305776897,64365.03832044713,59865.29058580287,479.2828667570473,0.002482700752543421,0.004738954099586799,-1.0
2024-05-11 10:00:00+00:00,60732.86328125,60890.53515625,60694.5234375,60890.53515625,0.0,38.549507404285265,61057.25807757347,-301.35063367262774,61113.33044542506,60456.50119519993,296.41656402098914,-0.0015419073528816218,0.0032274407653444938,-1.0
2024-05-12 08:00:00+00:00,60995.15625,61054.515625,60774.9609375,60810.3203125,133199872.0,49.88656681285106,60959.02639249572,-52.11162274383969,61227.59859035624,60724.631487768755,227.2403016467793,0.0039960492807284975,0.004583227664081933,-0.27753308858242565
2024-05-12 09:00:00+00:00,60985.22265625,61049.98046875,60950.23046875,61017.015625,0.0,49.5898627861036,60961.52127475803,-44.644968943575805,61229.16301093623,60726.83698906377,218.13385152915222,-0.00016285873109800342,0.0016356421384611808,-1.0
2024-05-12 11:00:00+00:00,61113.328125,61194.875,61093.4296875,61135.93359375,0.0,53.32262752016918,60990.587391298526,-13.666946430254029,61237.87744510289,60744.72958614711,218.6532197177384,-0.00028997638909744605,0.0016599539840557488,-1.0
2024-05-12 15:00:00+00:00,61361.03125,61460.53125,61128.17578125,61154.046875,0.0,60.673258237319594,61063.86125668852,41.312647905877384,61289.972424138185,60717.70101336181,208.65780267130432,0.0035743224538837826,0.005416393140393969,-1.0
2024-05-12 17:00:00+00:00,61626.58203125,61626.58203125,61197.82421875,61362.24609375,377816064.0,67.38706023887963,61143.791612618035,93.36789639305061,61473.95052462456,60642.31705350044,240.24231056224713,0.004188765073663392,0.006957351817476795,-0.07471987882314002
2024-05-12 18:00:00+00:00,61377.90625,61617.078125,61346.984375,61612.87890625,59369472.0,57.46995881355546,61166.088244749655,99.09392491209292,61513.065191770176,60651.87074572983,243.0534066828009,-0.004035203203771709,0.0044005044567645216,-0.8428614406400676
2024-05-12 19:00:00+00:00,61374.73828125,61412.5234375,61219.1875,61360.80078125,110969856.0,57.35415969683607,61185.959676797305,102.19813863885065,61538.6362031566,60684.423171843395,239.5021588840294,-5.161415472687558e-05,0.00315008980753673,0.8691400186277554
2024-05-12 20:00:00+00:00,61285.2109375,61401.70703125,61285.2109375,61394.14453125,0.0,54.04024615887138,61195.41217781661,96.32378136050829,61555.473980473915,60699.63422265108,230.71601137445586,-0.0014587002121253523,0.0019008842748180351,-1.0
2024-05-12 22:00:00+00:00,61293.86328125,61356.6328125,61197.1015625,61214.37109375,133124096.0,54.12345523545677,61206.90546897233,81.79764494914707,61563.42978653626,60768.83466658874,231.10143327695428,0.0012068414908710245,0.0026027279316362026,-0.6040652114988108
2024-05-12 23:00:00+00:00,61471.06640625,61501.5390625,61264.95703125,61264.95703125,146852864.0,59.393313011385956,61232.063653474965,92.16324376677949,61594.68056362646,60793.38545199853,231.49290456074326,0.0028910418680396788,0.003848672962438566,0.10312759607396704
2024-05-13 00:00:00+00:00,61497.11328125,61753.71875,61449.83203125,61449.83203125,253396992.0,60.11849771580296,61257.306475167825,101.31195943567582,61632.69943937918,60796.940013745814,236.66389128854732,0.00042372577088323204,0.004941479405060997,0.7255161737942
2024-05-13 01:00:00+00:00,61383.17578125,61510.76953125,61214.203125,61510.609375,430251008.0,55.453258753732136,61269.29402812803,98.23617302885395,61648.1863475401,60815.0984180849,240.9426423572225,-0.0018527292407843898,0.004831395614115304,0.6979325784577586
2024-05-13 02:00:00+00:00,61035.984375,61446.421875,60979.9765625,61378.88671875,908176384.0,44.19800263244036,61247.07406116346,67.01068776107422,61641.35472567487,60831.665586825126,257.04997593884946,-0.005656133001121999,0.007642136311494525,1.1108059414470914
2024-05-13 03:00:00+00:00,61133.30859375,61133.30859375,60787.359375,61036.70703125,984857600.0,47.4197228526091,61236.23925474313,49.546377006983676,61598.63513684295,60912.47736315705,263.39992185393163,0.0015945383653035439,0.005658931713461495,0.08443427659092273
2024-05-13 04:00:00+00:00,60969.8671875,61142.6796875,60891.53515625,61142.6796875,382670848.0,42.93649777187973,61210.870486434265,22.260820481613337,61601.363465723094,60907.2201280269,262.5245368107937,-0.0026735246301835547,0.00411915824710029,-0.6114455044059162
2024-05-13 05:00:00+00:00,60837.80859375,60984.65625,60810.6171875,60942.78125,292791296.0,39.672774231150036,61175.3407823691,-9.905025533778826,61621.692284569806,60872.1499029302,256.20414578859413,-0.002165964924015329,0.0028607056454344314,-0.2348743116172779
